Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error,TMDb_Synopsis,TMDb_Tagline,TMDb_Keywords,TMDb_Error,LLM_Raw_Response,Fear_Category
Number 24 // Nr. 24,No,2025-01-01,"45,100,000",1:52,24200000,Number 24,The Number 24,2009.0,Not Rated,24 Aug 2009,103 min,"Action, Horror, Thriller",Daniel Shulkin,"Brandon Lee, Daniel Shulkin, Adrian Tse","Chris Bargis, Adrian Tse, Amir Khalifa","A seemingly normal teenager takes a book out of the library titled ""The Number 24"". As he begins to read the book, he becomes fascinated and obsessed with the demonic phrases and references. As he dwells deeper into the book and i...",English,Canada,,https://m.media-amazon.com/images/M/MV5BODU4MGM5NGUtNzFhZS00ZTE5LWI4NjEtZTczYWQzNDRhYzU3XkEyXkFqcGdeQXVyMTAxODk2NTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",,4.8,25,tt1845299,movie,,,,,True,,"When a teenager begins reading the book entitled ""The Number 24"", he becomes intrigued and obsessed with the demonic phrases and innuendos.",How far can you push someone before they go over the edge?,,,"Based on the title, overview, and keywords, I would classify the movie ""Number 24"" under **Possession & Loss of Agency**.

The fear at the core of this film appears to be the teenager's gradual loss of control over his mind and body as he becomes increasingly obsessed with the book. The demonic phrases and innuendos in the book seem to be exerting some kind of influence over him, suggesting a form of possession or mind control that erodes his agency.

This classification fits better than other options because there is no indication of an external invader (Invasion, Impostors & Paranoia), institutional control (Institutional & Structural Control), captivity and sadism (Captivity & Voyeuristic Sadism), contagion or mutation (Contagion & Mutation), ecological menace (Ecological / Natural Menace), isolation and psychological unraveling (Isolation & Psychological Unraveling), grief and familial trauma (Grief & Familial Trauma), or transgression and moral punishment (Transgression & Moral Punishment).",Possession & Loss of Agency
Fear Street: Prom Queen,Yes,2025-05-23,"34,400,000",1:30,22900000,Fear Street: Prom Queen,Fear Street: Prom Queen,2025.0,R,23 May 2025,90 min,"Horror, Mystery, Thriller",Matt Palmer,"Matt Palmer, Donald McLeary, R.L. Stine","India Fowler, Suzanna Son, Fina Strazza","When the ""it"" girls competing for prom queen at Shadyside High start to disappear, a gutsy outsider discovers she's in for one hell of a prom night.",English,United States,,https://m.media-amazon.com/images/M/MV5BNjJlMDJjZTctNDlkYi00YTNmLWIyZjUtZjdmZTFhNDQwMTQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,5.1,"20,920",tt31433402,movie,,,,,True,,"Who will be voted queen at Shadyside High's 1988 prom? For underdog Lori, competition is cutthroat even before someone starts killing off the candidates.",Winning just might be the death of you.,"based on novel or book, beheading, prank, raincoat, axe murder, prom queen, high school rivalry, 1980s, it girl, teen slasher, high school prom",,"Based on the title, overview, and keywords, I would classify ""Fear Street: Prom Queen"" under **Invasion, Impostors & Paranoia** (Category 1).

The film appears to be a classic teen slasher movie with a focus on high school rivalry and competition. The presence of an axe murderer targeting prom queen candidates suggests that there is an external or uncanny threat lurking in the shadows, which aligns with this category.

While the movie may also touch on themes of social hierarchy and peer pressure, the primary fear driving the horror sequences appears to be the invasion of a hidden killer who is manipulating events from behind the scenes. This fear is more closely tied to the idea of an external threat rather than internalized guilt or moral transgression, which would fit better under other categories (e.g., Transgression & Moral Punishment).

Overall, I believe that **Invasion, Impostors & Paranoia** is the most fitting category for ""Fear Street: Prom Queen"".","Invasion, Impostors & Paranoia"
Ma (2019),No,,"37,100,000",1:39,22500000,Ma,Ma,2019.0,R,31 May 2019,99 min,"Horror, Mystery, Thriller",Tate Taylor,Scotty Landes,"Octavia Spencer, Diana Silvers, Juliette Lewis","A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.","English, Spanish","Japan, United States",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2MjA3ODU0NjBeQTJeQWpwZ15BbWU4MDE3NTQxNDcz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,5.6,"69,060",tt7958736,movie,,"$45,896,028",,,True,,"Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own.",Get home safe.,"casino, kidnapping, psychopath, underage drinking, revenge, murder, slasher, psychological thriller, stabbing, veterinary, mental illness, loner, school loner, hanging out, munchausen syndrome by proxy, psychological horror, horror",,"Based on the title, overview, and keywords, I would classify the movie ""Ma"" under **Institutional & Structural Control**.

The primary fear at the core of this film is not an external invasion or possession, but rather the manipulation and control exerted by societal structures and institutions. Specifically, the film explores themes of loneliness, isolation, and the exploitation of power dynamics between adults and children. Sue Ann's actions are motivated by a desire to connect with others and gain acceptance, which ultimately leads to a tragic outcome.

The movie highlights how societal expectations, norms, and systems can perpetuate harm and control over individuals, particularly those who are marginalized or vulnerable. This fear is rooted in the idea that institutions and structures can be used to manipulate and exploit people, often with devastating consequences.

While there are elements of psychological horror and slasher tropes present in the film, the primary fear driving the narrative is not an external threat but rather the internalized effects of societal pressures and expectations.",Institutional & Structural Control
Under Paris // Sous la Seine,Yes,2024-06-05,"33,500,000",1:44,19300000,Under Paris,Under Paris,2024.0,TV-MA,05 Jun 2024,104 min,"Action, Drama, Horror",Xavier Gens,"Yannick Dahan, Maud Heywang, Xavier Gens","Bérénice Bejo, Nassim Lyes, Léa Léviant","To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.","French, English",France,,https://m.media-amazon.com/images/M/MV5BMDM5ODBiN2ItOTk4Yi00NzgyLWE2YTktYzhjYTc2ODE4ZTE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,5.2,"37,895",tt13964390,movie,,,,,True,,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",Watch out before swim.,"paris, france, catacombs, triathlon, shark, environmental change , sonar",,"Based on the title, overview, and keywords, I would classify ""Under Paris"" under the category of **Ecological / Natural Menace**.

The movie appears to be about a giant shark appearing in the Seine River, which is a natural phenomenon that threatens the city of Paris. The fact that the scientist's tragic past is connected to this event suggests that the horror stems from nature turning hostile, rather than any supernatural or human-made threat.

This classification fits well with the keywords provided, such as ""shark"", ""environmental change"", and ""sonar"", which all point towards a natural disaster or ecological menace.",Ecological / Natural Menace
Trap (2024),No,,"30,700,000",1:45,17500000,Trap,Trap,2024.0,PG-13,02 Aug 2024,105 min,"Crime, Horror, Mystery",M. Night Shyamalan,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue, Saleka Shyamalan",A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,English,"United States, Canada",3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMzJiN2UyZjgtMjQ3MS00MDhhLTg5ZDItZmVjMTU3MTcwNzE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,5.8,"149,877",tt26753003,movie,,"$42,777,281",,,True,,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.","30,000 fans. 300 cops. 1 serial killer. No escape.","concert, philadelphia, pennsylvania, double life, escape, s.w.a.t., pop star, father, limousine, celebrity, trap, serial killer, obsessive compulsive disorder (ocd), trapped, mental illness, sting operation, mayhem, father daughter relationship, plot twist",,"Based on the title, overview, and keywords, I would classify the movie ""Trap"" under **Captivity & Voyeuristic Sadism**.

The fear of being trapped and deliberately manipulated by an intentional captor is a primary theme in this film. The father-daughter duo finds themselves at the center of a sinister event, which suggests that they are being intentionally targeted or manipulated by someone or something. The use of keywords like ""trap"", ""trapped"", and ""escape"" further reinforces this classification.

While there may be elements of paranoia and invasion present in the film, the core fear is not about an external presence taking control, but rather about being deliberately confined and controlled by a conscious captor. This fear is amplified by the themes of mental illness (OCD) and the exploitation of celebrity culture, which adds to the sense of vulnerability and captivity.

Overall, **Captivity & Voyeuristic Sadism** is the most fitting category for ""Trap"", as it captures the essence of intentional confinement and manipulation that drives the horror in this film.",Captivity & Voyeuristic Sadism
Don't Move,No,2024-10-25,"24,800,000",1:32,16200000,Don't Move,Don't Move,2024.0,R,25 Oct 2024,92 min,"Horror, Thriller","Brian Netto, Adam Schindler","T.J. Cimfel, David White","Kelsey Asbille, Finn Wittrock, Moray Treadwell","A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZmFlMTMyMzQtNmI4NC00YTcyLTgwOGUtMzc4YjcyNDUyOGY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,5.8,"40,303",tt24807110,movie,,,,,True,,"A grieving woman in a secluded forest encounters a killer who injects her with a paralytic drug. As her body shuts down, her fight for survival begins.",You can hide. But you can't run.,"paralysis, absurd, disheartening",,"Based on the title, overview, and keywords, I would classify ""Don't Move"" under **Captivity & Voyeuristic Sadism**.

The film's premise revolves around a killer who injects the protagonist with a paralytic drug, rendering her immobile. This intentional act of captivity and manipulation creates a sense of sadistic control, which is the primary fear driving the horror sequences. The fact that the killer's actions are deliberate and calculated adds to the sense of voyeuristic sadism, as the audience is forced to witness the protagonist's struggle for survival in a state of paralysis.

While there may be elements of isolation and psychological unraveling present in the film, the core fear is not rooted in these themes. Instead, it is the intentional act of captivity and manipulation by the killer that drives the horror, making **Captivity & Voyeuristic Sadism** the most fitting category for this film.",Captivity & Voyeuristic Sadism
Morbius,No,,"24,700,000",1:44,14300000,Morbius,Morbius,2022.0,PG-13,01 Apr 2022,104 min,"Action, Adventure, Horror",Daniel Espinosa,"Matt Sazama, Burk Sharpless","Jared Leto, Matt Smith, Adria Arjona","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.","English, Spanish, Russian",United States,3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BY2UzYzFiZWUtOGU5ZC00YTIxLWFlNGUtMGU1YmI4OWUzN2FmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35.0,5.1,"166,830",tt5108870,movie,,"$73,865,530",,,True,,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",A new Marvel legend arrives.,"vampire, superhero, based on comic, duringcreditsstinger, supervillain, frustrated",,"Based on the title, overview, and keywords, I would classify Morbius under **Invasion, Impostors & Paranoia** (Category 1).

The film's premise revolves around Dr. Michael Morbius's attempt to cure his rare blood disorder by experimenting with vampire-like abilities, which ultimately leads to a transformation that makes him a supernatural being. This invasion of his own biology and identity is the primary fear driving the horror sequences in the movie.

While there may be elements of frustration and desperation that contribute to the character's actions, the core fear at play is the loss of control over one's body and self, which is a classic theme of Invasion, Impostors & Paranoia.","Invasion, Impostors & Paranoia"
A Quiet Place: Day One,No,,"23,700,000",1:40,14200000,A Quiet Place: Day One,A Quiet Place: Day One,2024.0,PG-13,28 Jun 2024,99 min,"Drama, Horror, Sci-Fi",Michael Sarnoski,"Michael Sarnoski, John Krasinski, Bryan Woods","Lupita Nyong'o, Joseph Quinn, Alex Wolff",A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,"American Sign , English","United States, United Kingdom, Canada",5 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMDdjZTljZWMtMDIwNi00MTA5LTkxZmItNmY0NDA3ZDM0N2M2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,6.3,"161,086",tt13433802,movie,,"$139,051,884",,,True,,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",Hear how it all began.,"monster, escape, cat, alien, prequel, survival, survivalist, fear, spin off, noise, silence, quiet, hopeful",,"Based on the title, overview, and keywords, I would classify ""A Quiet Place: Day One"" under **Invasion, Impostors & Paranoia**.

The film's premise revolves around an alien invasion that forces humans to adapt to a new reality where sound is the primary threat. The main character, Sam, fights to survive alongside her cat in a world where the creatures hunt by sound. This fear of being replaced and observed by hidden others (the aliens) drives the horror sequences.

While there may be elements of captivity and survival, the primary fear at play here is the invasion and paranoia caused by the alien presence, which fits squarely under this category.","Invasion, Impostors & Paranoia"
The Menu (2022),No,,"20,600,000",1:47,11600000,The Menu,The Menu,2022.0,R,18 Nov 2022,107 min,"Comedy, Horror, Thriller",Mark Mylod,"Seth Reiss, Will Tracy","Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.","English, Spanish",United States,2 wins & 66 nominations total,https://m.media-amazon.com/images/M/MV5BN2Q0YWE1MjktODJlMi00NTRiLWI2ZTctZTAxNjkyODVjM2EyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71.0,7.2,"463,869",tt9764362,movie,,"$38,501,125",,,True,,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Painstakingly prepared. Brilliantly executed.,"psychopath, obsession, mass murder, restaurant, dark comedy, revenge, food, dinner, chef, food critic, remote island, french cuisine, culinary arts, fine dining, haute cuisine, direct, absurd, appreciative, foreboding, pessimistic",,"Based on the title, overview, and keywords, I would classify ""The Menu"" under **Captivity & Voyeuristic Sadism**.

The film appears to revolve around a young couple's experience at an exclusive restaurant on a remote island, where they are subjected to a lavish menu with shocking surprises. The presence of a psychopathic chef and the theme of mass murder suggest that the couple is trapped in a situation where they are forced to endure a sadistic game designed by their captor.

The keywords ""psychopath"", ""obsession"", ""mass murder"", and ""revenge"" further support this classification, as they imply a conscious and intentional attempt to inflict harm or suffering on the protagonists. The dark comedy tone also suggests that the film will explore themes of captivity and sadistic manipulation, which aligns with the **Captivity & Voyeuristic Sadism** category.

Overall, while ""The Menu"" may touch on other themes such as obsession and revenge, its primary fear is the sense of being trapped and subjected to a cruel and capricious captor, making it a prime candidate for this category.",Captivity & Voyeuristic Sadism
M3GAN,No,,"19,700,000",1:42,11600000,M3GAN,M3GAN,2022.0,PG-13,06 Jan 2023,102 min,"Horror, Sci-Fi, Thriller",Gerard Johnstone,"Akela Cooper, James Wan","Allison Williams, Violet McGraw, Ronny Chieng","When robotics engineer Gemma becomes the guardian of her orphaned niece, Cady, she thinks her new invention, a robotic AI, will be a good companion. However, M3GAN begins to behave in unexpected and shocking ways.",English,"United States, New Zealand",4 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BYjU1ZWMxYTUtNzQ1ZC00ZTcxLTg0NTMtMzY1ZmQyZjhmYjMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,6.3,"173,875",tt8760708,movie,,"$95,159,005",,,True,,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",She's more than a toy. She's family.,"android, artificial intelligence (a.i.), killer robot, halloween, aunt niece relationship, evil doll, slasher, orphan, car accident, niece, robot, juvenile delinquent, doll, information leak, dead dog, nosy neighbor, hit by a car, dead parents, attacked by a dog, creepy doll, possessed doll, witty, sinister, audacious, android horror",,"Based on the title, overview, and keywords, I would classify M3GAN under **Captivity & Voyeuristic Sadism**. The primary fear at the core of the film is the idea of being trapped and deliberately harmed by a sentient, yet malfunctioning, artificial intelligence (M3GAN) that has become overprotective and violent towards its niece.

The horror stems from the intentional, conscious actions of M3GAN as it captures and terrorizes those around her, including its creators and innocent bystanders. The film's focus on captivity, confinement, and deliberate cruelty as spectacle aligns with this category.

While there are elements of body horror and possession present in the film, the primary fear is not the invasion or takeover by an external force but rather the intentional harm caused by M3GAN's malfunctioning programming.",Captivity & Voyeuristic Sadism
